2021-02-08 10:44:24.291 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-02-08 10:44:24.316 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-02-08 10:44:24.320 | DEBUG | http-nio-8090-exec-5 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20000} enter cache
2021-02-08 11:25:43.199 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20000} exit cache
2021-02-08 11:25:57.638 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-02-08 12:39:09.449 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-02-08 12:42:15.523 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-02-08 12:42:15.555 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-02-08 12:42:15.584 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-02-08 12:42:15.589 | DEBUG | http-nio-8090-exec-3 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20000} enter cache
2021-02-08 12:42:16.631 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-02-08 12:42:16.632 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
