2021-01-28 10:10:15.426 | INFO  | main | org.eclipse.jetty.server.Server-line:400 | Started @15389ms
2021-01-28 10:10:16.422 | INFO  | main | org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping-line:54 | Adding welcome page: class path resource [static/index.html]
2021-01-28 10:10:16.943 | INFO  | main | org.eclipse.jetty.server.handler.ContextHandler.application-line:2303 | Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-01-28 10:10:16.943 | INFO  | main | org.springframework.web.servlet.DispatcherServlet-line:525 | Initializing Servlet 'dispatcherServlet'
2021-01-28 10:10:16.954 | INFO  | main | org.springframework.web.servlet.DispatcherServlet-line:547 | Completed initialization in 11 ms
2021-01-28 10:10:17.037 | INFO  | main | org.eclipse.jetty.server.AbstractConnector-line:331 | Started ServerConnector@68a4a6c8{HTTP/1.1, (http/1.1)}{0.0.0.0:8090}
2021-01-28 10:10:17.041 | INFO  | main | org.springframework.boot.web.embedded.jetty.JettyWebServer-line:185 | Jetty started on port(s) 8090 (http/1.1) with context path '/'
2021-01-28 10:10:17.058 | INFO  | main | com.CloudBranchApplication-line:61 | Started CloudBranchApplication in 14.321 seconds (JVM running for 17.022)
2021-01-28 11:10:12.568 | INFO  | qtp1641196047-56 | com.alibaba.druid.pool.DruidDataSource-line:1002 | {dataSource-1} inited
2021-01-28 11:10:23.160 | INFO  | qtp1641196047-56 | com.modules.base.service.impl.DemoServiceImpl-line:38 | >>> Query from database..
2021-01-28 11:13:02.471 | INFO  | lettuce-eventExecutorLoop-1-4 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was /192.168.75.130:6379
2021-01-28 11:13:07.970 | INFO  | lettuce-eventExecutorLoop-1-1 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was 192.168.75.130:6379
2021-01-28 11:13:13.170 | INFO  | lettuce-eventExecutorLoop-1-1 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was 192.168.75.130:6379
2021-01-28 11:13:18.370 | INFO  | lettuce-eventExecutorLoop-1-3 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was 192.168.75.130:6379
2021-01-28 11:13:23.569 | INFO  | lettuce-eventExecutorLoop-1-4 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was 192.168.75.130:6379
2021-01-28 11:13:32.870 | INFO  | lettuce-eventExecutorLoop-1-1 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was 192.168.75.130:6379
2021-01-28 11:13:32.874 | INFO  | lettuce-nioEventLoop-4-3 | io.lettuce.core.protocol.ReconnectionHandler-line:194 | Reconnected to 192.168.75.130:6379
2021-01-28 11:14:42.671 | INFO  | lettuce-eventExecutorLoop-1-4 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was /192.168.75.130:6379
2021-01-28 11:14:48.168 | INFO  | lettuce-eventExecutorLoop-1-1 | io.lettuce.core.protocol.ConnectionWatchdog-line:171 | Reconnecting, last destination was 192.168.75.130:6379
2021-01-28 11:14:49.788 | INFO  | lettuce-nioEventLoop-4-2 | io.lettuce.core.protocol.ReconnectionHandler-line:194 | Reconnected to 192.168.75.130:6379
2021-01-28 11:45:03.553 | INFO  | SpringContextShutdownHook | org.eclipse.jetty.server.AbstractConnector-line:381 | Stopped ServerConnector@68a4a6c8{HTTP/1.1, (http/1.1)}{0.0.0.0:8090}
2021-01-28 11:45:03.553 | INFO  | SpringContextShutdownHook | org.eclipse.jetty.server.session-line:158 | node0 Stopped scavenging
2021-01-28 11:45:03.553 | INFO  | SpringContextShutdownHook | org.eclipse.jetty.server.handler.ContextHandler.application-line:2303 | Destroying Spring FrameworkServlet 'dispatcherServlet'
2021-01-28 11:45:03.556 | INFO  | SpringContextShutdownHook | org.eclipse.jetty.server.handler.ContextHandler-line:1099 | Stopped o.s.b.w.e.j.JettyEmbeddedWebAppContext@2398268c{application,/,[file:///C:/Users/Administrator/AppData/Local/Temp/jetty-docbase.10452321912288131636.8090/],UNAVAILABLE}
